[04-07 16:04:00.194]SaleGoodsData, count, level, id, num, price, range, curprice 1  0  4573  900  279  62  287  
[04-07 16:04:00.194]SaleGoodsData, count, level, id, num, price, range, curprice 2  0  4574  800  342  76  374  
[04-07 16:04:00.194]SaleGoodsData, count, level, id, num, price, range, curprice 3  1  4575  700  391  87  448  
[04-07 16:04:00.194]SaleGoodsData, count, level, id, num, price, range, curprice 4  1  4576  480  432  96  487  
[04-07 16:04:00.194]SaleGoodsData, count, level, id, num, price, range, curprice 5  2  4577  300  495  110  568  
[04-07 16:04:00.194]SaleGoodsData, count, level, id, num, price, range, curprice 6  2  4578  240  522  116  579  
[04-07 16:04:00.194]SaleGoodsData, count, level, id, num, price, range, curprice 7  3  4579  60  589  131  709  
[04-07 16:04:00.194]SaleGoodsData, count, level, id, num, price, range, curprice 8  3  4580  40  648  144  689  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 1  0  4581  -1  542  121  585  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 2  0  4583  -1  724  161  854  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 3  0  4585  -1  846  188  990  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 4  0  4587  -1  846  564  1077  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 5  0  4593  -1  1000  223  1133  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 6  0  4595  -1  938  625  1442  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 7  0  4597  -1  881  195  1037  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 8  0  4598  -1  878  195  886  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 9  0  4600  -1  866  577  887  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 10  0  4552  -1  642  143  709  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 11  0  4553  -1  789  175  849  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 12  0  4554  -1  934  207  1009  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 13  0  4556  -1  870  193  968  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 14  0  4557  -1  970  215  1022  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 15  0  4560  -1  1056  235  1078  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 16  0  4563  -1  909  202  961  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 17  0  4566  -1  785  175  807  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 18  0  4569  -1  1014  225  1136  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 19  0  4572  -1  924  205  1052  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 20  0  4547  -1  100  0  100  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 21  0  4549  -1  500  0  500  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 22  0  4548  -1  300  0  300  
[04-07 16:04:00.194]BuyGoodsData, count, level, id, num, price, range, curprice 23  0  4551  -1  20  0  20  
[04-07 16:04:00.200]SaleGoodsData, count, level, id, num, price, range, curprice 1  1  4597  480  436  97  511  
[04-07 16:04:00.200]SaleGoodsData, count, level, id, num, price, range, curprice 2  2  4598  300  472  105  500  
[04-07 16:04:00.200]SaleGoodsData, count, level, id, num, price, range, curprice 3  2  4599  240  508  113  599  
[04-07 16:04:00.200]SaleGoodsData, count, level, id, num, price, range, curprice 4  3  4600  60  571  127  672  
[04-07 16:04:00.200]SaleGoodsData, count, level, id, num, price, range, curprice 5  3  4601  40  643  143  649  
[04-07 16:04:00.200]BuyGoodsData, count, level, id, num, price, range, curprice 1  0  4573  -1  554  123  627  
[04-07 16:04:00.200]BuyGoodsData, count, level, id, num, price, range, curprice 2  0  4574  -1  711  158  846  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 3  0  4576  -1  872  193  931  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 4  0  4581  -1  548  121  550  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 5  0  4583  -1  740  165  757  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 6  0  4587  -1  900  600  1288  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 7  0  4591  -1  880  195  934  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 8  0  4593  -1  1029  229  1241  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 9  0  4595  -1  976  651  1512  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 10  0  4553  -1  826  183  855  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 11  0  4555  -1  793  177  928  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 12  0  4556  -1  860  191  862  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 13  0  4557  -1  960  213  1130  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 14  0  4559  -1  920  205  1014  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 15  0  4560  -1  1039  231  1194  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 16  0  4563  -1  909  202  1088  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 17  0  4566  -1  831  185  831  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 18  0  4569  -1  1089  243  1238  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 19  0  4572  -1  924  205  935  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 20  0  4547  -1  100  0  100  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 21  0  4549  -1  450  0  450  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 22  0  4550  -1  1000  0  1000  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 23  0  4548  -1  300  0  300  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 24  0  4551  -1  20  0  20  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 25  0  3913  -1  1248  832  1505  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 26  0  3912  -1  1395  930  1892  
[04-07 16:04:00.201]BuyGoodsData, count, level, id, num, price, range, curprice 27  0  3914  -1  1614  1077  2140  
[04-07 16:04:00.217]SaleGoodsData, count, level, id, num, price, range, curprice 1  0  4552  800  315  70  320  
[04-07 16:04:00.217]SaleGoodsData, count, level, id, num, price, range, curprice 2  1  4553  700  405  90  449  
[04-07 16:04:00.217]SaleGoodsData, count, level, id, num, price, range, curprice 3  1  4554  480  477  106  578  
[04-07 16:04:00.217]BuyGoodsData, count, level, id, num, price, range, curprice 1  0  4574  -1  697  155  845  
[04-07 16:04:00.217]BuyGoodsData, count, level, id, num, price, range, curprice 2  0  4578  -1  960  213  1146  
[04-07 16:04:00.217]BuyGoodsData, count, level, id, num, price, range, curprice 3  0  4580  -1  972  648  982  
[04-07 16:04:00.217]BuyGoodsData, count, level, id, num, price, range, curprice 4  0  4582  -1  664  147  808  
[04-07 16:04:00.217]BuyGoodsData, count, level, id, num, price, range, curprice 5  0  4584  -1  818  181  928  
[04-07 16:04:00.217]BuyGoodsData, count, level, id, num, price, range, curprice 6  0  4586  -1  895  199  948  
[04-07 16:04:00.217]BuyGoodsData, count, level, id, num, price, range, curprice 7  0  4588  -1  969  646  1430  
