// equipment_v2 generated rows — DO NOT HAND EDIT; regenerate via generate_equipment.py
10000	Guardian Greatsword T10	w0010	10100002	01020003	02020003	0	0	0	00	2	10	1	0	7	1	1	1	1	1	1	1	3510	1,2,3,4	10	1,8	0	0	9	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	54,60	66,74	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	T10 Guardian Greatsword T10 (Family set)	equipment_v2	1
10001	Guardian Sword T10	w0004	10100001	01010004	02010004	03010073	0	0	00	1	10	1	0	7	1	1	1	1	1	1	1	3510	1,2,3,4	10	1,9,10	0	0	9,6	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	42,48	52,58	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	T10 Guardian Sword T10 (Family set)	equipment_v2	1
10002	Guardian Bow T10	w0019	10100003	01030005	0	03030005	0	0	00	3	10	1	0	7	1	1	1	1	1	1	1	3510	1,2,3,4	10	2,11,12	0	0	6	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	46,52	56,64	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	T10 Guardian Bow T10 (Family set)	equipment_v2	1
10003	Guardian Gun T10	w0024	10100004	01040003	0	03040003	0	0	00	4	10	1	0	7	1	1	1	1	1	1	1	3510	1,2,3,4	10	2,11,12	0	0	9	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	46,52	56,64	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	T10 Guardian Gun T10 (Family set)	equipment_v2	1
10004	Guardian Staff T10	w0060	10100009	0	0	03090004	04090004	0	00	9	10	1	0	7	1	1	1	1	1	1	1	3510	1,2,3,4	10	5,13,14	0	0	9	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	54,60	66,74	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	T10 Guardian Staff T10 (Family set)	equipment_v2	1
10005	Guardian Dagger T10	w0046	10100007	01070004	0	03070004	04070004	0	00	7	10	1	0	7	1	1	1	1	1	1	1	3510	1,2,3,4	10	4,16	0	0	9	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	54,60	66,74	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	T10 Guardian Dagger T10 (Family set)	equipment_v2	1
10006	Guardian Cap T10	e0699	10110001	0	0	0	0003970001	0	00	20	10	1	0	7	1	1	1	1	1	1	1	3510	1,2,3,4	10	1,2,3,4,5,8,9,10,12,13,14,16	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	8000,8000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	T10 Guardian Cap T10 (Family set)	equipment_v2	1
10007	Guardian Body T10	e0102	10110002	0000060002	0001060002	0002591002	0	0	00	22	10	1	0	7	1	1	1	1	1	1	1	3510	1,2,3,4	10	1,2,3,4,5,8,9,10,12,13,14,16	0	0	2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	10,10	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	8000,8000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	T10 Guardian Body T10 (Family set)	equipment_v2	1
10008	Guardian Gloves T10	e0277	10110003	0000060003	0001060003	0002591003	0	0	00	23	10	1	0	7	1	1	1	1	1	1	1	3510	1,2,3,4	10	1,2,3,4,5,8,9,10,12,13,14,16	0	0	3	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	8000,8000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	T10 Guardian Gloves T10 (Family set)	equipment_v2	1
10009	Guardian Boots T10	e0452	10110004	0000060004	0001060004	0002591004	0	0	00	24	10	1	0	7	1	1	1	1	1	1	1	3510	1,2,3,4	10	1,2,3,4,5,8,9,10,12,13,14,16	0	0	4	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	8000,8000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	T10 Guardian Boots T10 (Family set)	equipment_v2	1
