[04-08 15:02:24.165]??????????ID[1],?????Argent Harbor?? 
[04-08 15:02:24.165]??????????ID[2],?????Thundoria Harbor?? 
[04-08 15:02:24.165]??????????ID[3],?????Shaitan Harbor?? 
[04-08 15:02:24.165]??????????ID[4],?????Icicle Harbor?? 
[04-08 15:02:24.165]??????????ID[5],?????Zephyr Harbor?? 
[04-08 15:02:24.165]??????????ID[6],?????Glacier Harbor?? 
[04-08 15:02:24.165]??????????ID[7],?????Outlaw Harbor?? 
[04-08 15:02:24.165]??????????ID[8],?????Harbor of Chill?? 
[04-08 15:02:24.165]??????????ID[9],?????Canary Harbor?? 
[04-08 15:02:24.165]??????????ID[10],?????Cupid Harbor?? 
[04-08 15:02:24.165]??????????ID[11],?????Harbor of Fortune?? 
[04-08 15:02:24.165]??????????ID[12],?????Mystery Harbor?? 
[04-08 15:02:24.165]??????????ID[13],?????Spring Harbor?? 
[04-08 15:02:24.165]??????????ID[14],?????Summer Southern Harbor?? 
[04-08 15:02:24.165]??????????ID[15],?????Southern Summer Harbor?? 
[04-08 15:50:49.741]??????????ID[1],?????Argent Harbor?? 
[04-08 15:50:49.741]??????????ID[2],?????Thundoria Harbor?? 
[04-08 15:50:49.741]??????????ID[3],?????Shaitan Harbor?? 
[04-08 15:50:49.741]??????????ID[4],?????Icicle Harbor?? 
[04-08 15:50:49.741]??????????ID[5],?????Zephyr Harbor?? 
[04-08 15:50:49.741]??????????ID[6],?????Glacier Harbor?? 
[04-08 15:50:49.741]??????????ID[7],?????Outlaw Harbor?? 
[04-08 15:50:49.741]??????????ID[8],?????Harbor of Chill?? 
[04-08 15:50:49.741]??????????ID[9],?????Canary Harbor?? 
[04-08 15:50:49.741]??????????ID[10],?????Cupid Harbor?? 
[04-08 15:50:49.741]??????????ID[11],?????Harbor of Fortune?? 
[04-08 15:50:49.741]??????????ID[12],?????Mystery Harbor?? 
[04-08 15:50:49.741]??????????ID[13],?????Spring Harbor?? 
[04-08 15:50:49.741]??????????ID[14],?????Summer Southern Harbor?? 
[04-08 15:50:49.741]??????????ID[15],?????Southern Summer Harbor?? 
