[04-08 15:02:24.162]AddPfTable, curpf, uppf, count 1  8  1  
[04-08 15:02:24.162]AddPfTable, curpf, uppf, count 1  9  2  
[04-08 15:02:24.162]AddPfTable, curpf, uppf, count 1  10  3  
[04-08 15:02:24.162]AddPfTable, curpf, uppf, count 2  11  1  
[04-08 15:02:24.162]AddPfTable, curpf, uppf, count 2  12  2  
[04-08 15:02:24.162]AddPfTable, curpf, uppf, count 3  15  1  
[04-08 15:02:24.162]AddPfTable, curpf, uppf, count 4  16  1  
[04-08 15:02:24.162]AddPfTable, curpf, uppf, count 5  13  1  
[04-08 15:02:24.162]AddPfTable, curpf, uppf, count 5  14  2  
[04-08 15:02:24.162]AddPfTable, curpf, uppf, count 6  18  1  
[04-08 15:02:24.162]AddPfTable, curpf, uppf, count 7  17  1  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  1  1  1  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  1  2  2  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  1  4  3  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  1  7  4  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  1  9  5  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  1  10  6  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  1  11  7  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  1  12  8  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  1  16  9  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  1  17  10  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  2  1  1  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  2  3  2  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  2  6  3  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  2  7  4  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  2  8  5  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  2  10  6  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  2  17  7  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  3  1  1  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  3  2  2  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  3  3  3  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  3  4  4  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  3  5  5  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  3  7  6  
[04-08 15:02:24.162]AddCatTable, cat, pf, count  3  9  7  
[04-08 15:02:24.163]AddCatTable, cat, pf, count  3  11  8  
[04-08 15:02:24.163]AddCatTable, cat, pf, count  3  12  9  
[04-08 15:02:24.163]AddCatTable, cat, pf, count  3  13  10  
[04-08 15:02:24.163]AddCatTable, cat, pf, count  3  14  11  
[04-08 15:02:24.163]AddCatTable, cat, pf, count  3  15  12  
[04-08 15:02:24.163]AddCatTable, cat, pf, count  3  16  13  
[04-08 15:02:24.163]AddCatTable, cat, pf, count  3  17  14  
[04-08 15:02:24.163]AddCatTable, cat, pf, count  4  4  1  
[04-08 15:02:24.163]AddCatTable, cat, pf, count  4  5  2  
[04-08 15:02:24.163]AddCatTable, cat, pf, count  4  6  3  
[04-08 15:02:24.163]AddCatTable, cat, pf, count  4  7  4  
[04-08 15:02:24.163]AddCatTable, cat, pf, count  4  13  5  
[04-08 15:02:24.163]AddCatTable, cat, pf, count  4  14  6  
[04-08 15:02:24.163]AddCatTable, cat, pf, count  4  16  7  
[04-08 15:02:24.163]AddCatTable, cat, pf, count  4  17  8  
[04-08 15:02:24.163]AddCatTable, cat, pf, count  4  18  9  
[04-08 15:50:49.709]AddPfTable, curpf, uppf, count 1  8  1  
[04-08 15:50:49.709]AddPfTable, curpf, uppf, count 1  9  2  
[04-08 15:50:49.709]AddPfTable, curpf, uppf, count 1  10  3  
[04-08 15:50:49.709]AddPfTable, curpf, uppf, count 2  11  1  
[04-08 15:50:49.709]AddPfTable, curpf, uppf, count 2  12  2  
[04-08 15:50:49.709]AddPfTable, curpf, uppf, count 3  15  1  
[04-08 15:50:49.709]AddPfTable, curpf, uppf, count 4  16  1  
[04-08 15:50:49.709]AddPfTable, curpf, uppf, count 5  13  1  
[04-08 15:50:49.709]AddPfTable, curpf, uppf, count 5  14  2  
[04-08 15:50:49.709]AddPfTable, curpf, uppf, count 6  18  1  
[04-08 15:50:49.709]AddPfTable, curpf, uppf, count 7  17  1  
[04-08 15:50:49.709]AddCatTable, cat, pf, count  1  1  1  
[04-08 15:50:49.709]AddCatTable, cat, pf, count  1  2  2  
[04-08 15:50:49.709]AddCatTable, cat, pf, count  1  4  3  
[04-08 15:50:49.709]AddCatTable, cat, pf, count  1  7  4  
[04-08 15:50:49.709]AddCatTable, cat, pf, count  1  9  5  
[04-08 15:50:49.709]AddCatTable, cat, pf, count  1  10  6  
[04-08 15:50:49.709]AddCatTable, cat, pf, count  1  11  7  
[04-08 15:50:49.709]AddCatTable, cat, pf, count  1  12  8  
[04-08 15:50:49.709]AddCatTable, cat, pf, count  1  16  9  
[04-08 15:50:49.709]AddCatTable, cat, pf, count  1  17  10  
[04-08 15:50:49.709]AddCatTable, cat, pf, count  2  1  1  
[04-08 15:50:49.709]AddCatTable, cat, pf, count  2  3  2  
[04-08 15:50:49.709]AddCatTable, cat, pf, count  2  6  3  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  2  7  4  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  2  8  5  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  2  10  6  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  2  17  7  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  3  1  1  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  3  2  2  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  3  3  3  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  3  4  4  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  3  5  5  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  3  7  6  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  3  9  7  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  3  11  8  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  3  12  9  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  3  13  10  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  3  14  11  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  3  15  12  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  3  16  13  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  3  17  14  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  4  4  1  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  4  5  2  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  4  6  3  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  4  7  4  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  4  13  5  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  4  14  6  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  4  16  7  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  4  17  8  
[04-08 15:50:49.725]AddCatTable, cat, pf, count  4  18  9  
