[04-06 10:32:19.603]??????????ID[1],?????Argent Harbor?? 
[04-06 10:32:19.603]??????????ID[2],?????Thundoria Harbor?? 
[04-06 10:32:19.603]??????????ID[3],?????Shaitan Harbor?? 
[04-06 10:32:19.603]??????????ID[4],?????Icicle Harbor?? 
[04-06 10:32:19.603]??????????ID[5],?????Zephyr Harbor?? 
[04-06 10:32:19.603]??????????ID[6],?????Glacier Harbor?? 
[04-06 10:32:19.603]??????????ID[7],?????Outlaw Harbor?? 
[04-06 10:32:19.603]??????????ID[8],?????Harbor of Chill?? 
[04-06 10:32:19.603]??????????ID[9],?????Canary Harbor?? 
[04-06 10:32:19.603]??????????ID[10],?????Cupid Harbor?? 
[04-06 10:32:19.603]??????????ID[11],?????Harbor of Fortune?? 
[04-06 10:32:19.603]??????????ID[12],?????Mystery Harbor?? 
[04-06 10:32:19.603]??????????ID[13],?????Spring Harbor?? 
[04-06 10:32:19.603]??????????ID[14],?????Summer Southern Harbor?? 
[04-06 10:32:19.603]??????????ID[15],?????Southern Summer Harbor?? 
[04-06 10:40:16.366]??????????ID[1],?????Argent Harbor?? 
[04-06 10:40:16.366]??????????ID[2],?????Thundoria Harbor?? 
[04-06 10:40:16.366]??????????ID[3],?????Shaitan Harbor?? 
[04-06 10:40:16.366]??????????ID[4],?????Icicle Harbor?? 
[04-06 10:40:16.366]??????????ID[5],?????Zephyr Harbor?? 
[04-06 10:40:16.366]??????????ID[6],?????Glacier Harbor?? 
[04-06 10:40:16.366]??????????ID[7],?????Outlaw Harbor?? 
[04-06 10:40:16.366]??????????ID[8],?????Harbor of Chill?? 
[04-06 10:40:16.366]??????????ID[9],?????Canary Harbor?? 
[04-06 10:40:16.366]??????????ID[10],?????Cupid Harbor?? 
[04-06 10:40:16.366]??????????ID[11],?????Harbor of Fortune?? 
[04-06 10:40:16.366]??????????ID[12],?????Mystery Harbor?? 
[04-06 10:40:16.366]??????????ID[13],?????Spring Harbor?? 
[04-06 10:40:16.366]??????????ID[14],?????Summer Southern Harbor?? 
[04-06 10:40:16.366]??????????ID[15],?????Southern Summer Harbor?? 
[04-06 10:46:07.818]??????????ID[1],?????Argent Harbor?? 
[04-06 10:46:07.818]??????????ID[2],?????Thundoria Harbor?? 
[04-06 10:46:07.818]??????????ID[3],?????Shaitan Harbor?? 
[04-06 10:46:07.818]??????????ID[4],?????Icicle Harbor?? 
[04-06 10:46:07.818]??????????ID[5],?????Zephyr Harbor?? 
[04-06 10:46:07.818]??????????ID[6],?????Glacier Harbor?? 
[04-06 10:46:07.818]??????????ID[7],?????Outlaw Harbor?? 
[04-06 10:46:07.818]??????????ID[8],?????Harbor of Chill?? 
[04-06 10:46:07.818]??????????ID[9],?????Canary Harbor?? 
[04-06 10:46:07.818]??????????ID[10],?????Cupid Harbor?? 
[04-06 10:46:07.818]??????????ID[11],?????Harbor of Fortune?? 
[04-06 10:46:07.818]??????????ID[12],?????Mystery Harbor?? 
[04-06 10:46:07.818]??????????ID[13],?????Spring Harbor?? 
[04-06 10:46:07.818]??????????ID[14],?????Summer Southern Harbor?? 
[04-06 10:46:07.818]??????????ID[15],?????Southern Summer Harbor?? 
[04-06 10:50:15.806]??????????ID[1],?????Argent Harbor?? 
[04-06 10:50:15.806]??????????ID[2],?????Thundoria Harbor?? 
[04-06 10:50:15.806]??????????ID[3],?????Shaitan Harbor?? 
[04-06 10:50:15.806]??????????ID[4],?????Icicle Harbor?? 
[04-06 10:50:15.806]??????????ID[5],?????Zephyr Harbor?? 
[04-06 10:50:15.806]??????????ID[6],?????Glacier Harbor?? 
[04-06 10:50:15.806]??????????ID[7],?????Outlaw Harbor?? 
[04-06 10:50:15.806]??????????ID[8],?????Harbor of Chill?? 
[04-06 10:50:15.806]??????????ID[9],?????Canary Harbor?? 
