[04-06 10:32:19.603]??????????????????Level, ItemID, Count, PileID 1  4543  10  4547  
[04-06 10:32:19.603]?????????????????level, ItemID, Count, PileID 1  4544  10  4548  
[04-06 10:32:19.603]?????????????????level, ItemID, Count, PileID 2  4545  10  4549  
[04-06 10:32:19.603]?????????????????level, ItemID, Count, PileID 3  4546  10  4550  
[04-06 10:40:16.367]??????????????????Level, ItemID, Count, PileID 1  4543  10  4547  
[04-06 10:40:16.367]?????????????????level, ItemID, Count, PileID 1  4544  10  4548  
[04-06 10:40:16.367]?????????????????level, ItemID, Count, PileID 2  4545  10  4549  
[04-06 10:40:16.367]?????????????????level, ItemID, Count, PileID 3  4546  10  4550  
[04-06 10:46:07.818]??????????????????Level, ItemID, Count, PileID 1  4543  10  4547  
[04-06 10:46:07.818]?????????????????level, ItemID, Count, PileID 1  4544  10  4548  
[04-06 10:46:07.818]?????????????????level, ItemID, Count, PileID 2  4545  10  4549  
[04-06 10:46:07.818]?????????????????level, ItemID, Count, PileID 3  4546  10  4550  
[04-06 10:50:15.806]??????????????????Level, ItemID, Count, PileID 1  4543  10  4547  
[04-06 10:50:15.806]?????????????????level, ItemID, Count, PileID 1  4544  10  4548  
[04-06 10:50:15.806]?????????????????level, ItemID, Count, PileID 2  4545  10  4549  
[04-06 10:50:15.806]?????????????????level, ItemID, Count, PileID 3  4546  10  4550  
[04-06 10:56:07.175]??????????????????Level, ItemID, Count, PileID 1  4543  10  4547  
[04-06 10:56:07.175]?????????????????level, ItemID, Count, PileID 1  4544  10  4548  
[04-06 10:56:07.175]?????????????????level, ItemID, Count, PileID 2  4545  10  4549  
[04-06 10:56:07.175]?????????????????level, ItemID, Count, PileID 3  4546  10  4550  
[04-06 11:00:55.474]??????????????????Level, ItemID, Count, PileID 1  4543  10  4547  
[04-06 11:00:55.474]?????????????????level, ItemID, Count, PileID 1  4544  10  4548  
[04-06 11:00:55.474]?????????????????level, ItemID, Count, PileID 2  4545  10  4549  
[04-06 11:00:55.474]?????????????????level, ItemID, Count, PileID 3  4546  10  4550  
[04-06 11:02:12.644]??????????????????Level, ItemID, Count, PileID 1  4543  10  4547  
[04-06 11:02:12.644]?????????????????level, ItemID, Count, PileID 1  4544  10  4548  
[04-06 11:02:12.644]?????????????????level, ItemID, Count, PileID 2  4545  10  4549  
[04-06 11:02:12.644]?????????????????level, ItemID, Count, PileID 3  4546  10  4550  
[04-06 11:11:59.945]??????????????????Level, ItemID, Count, PileID 1  4543  10  4547  
