[04-10 00:34:16.750]??????????ID[1],?????Argent Harbor?? 
[04-10 00:34:16.750]??????????ID[2],?????Thundoria Harbor?? 
[04-10 00:34:16.750]??????????ID[3],?????Shaitan Harbor?? 
[04-10 00:34:16.750]??????????ID[4],?????Icicle Harbor?? 
[04-10 00:34:16.750]??????????ID[5],?????Zephyr Harbor?? 
[04-10 00:34:16.750]??????????ID[6],?????Glacier Harbor?? 
[04-10 00:34:16.750]??????????ID[7],?????Outlaw Harbor?? 
[04-10 00:34:16.750]??????????ID[8],?????Harbor of Chill?? 
[04-10 00:34:16.750]??????????ID[9],?????Canary Harbor?? 
[04-10 00:34:16.750]??????????ID[10],?????Cupid Harbor?? 
[04-10 00:34:16.750]??????????ID[11],?????Harbor of Fortune?? 
[04-10 00:34:16.750]??????????ID[12],?????Mystery Harbor?? 
[04-10 00:34:16.750]??????????ID[13],?????Spring Harbor?? 
[04-10 00:34:16.750]??????????ID[14],?????Summer Southern Harbor?? 
[04-10 00:34:16.750]??????????ID[15],?????Southern Summer Harbor?? 
