[04-10 03:07:08.060]create bugbear859  pos = 6352 3558, angle = 145, rTime = 0
[04-10 03:07:08.060]create bugbear859  pos = 6761 13062, angle = 145, rTime = 0
[04-10 03:07:08.060]create bugbear859  pos = 10820 24989, angle = 145, rTime = 0
[04-10 03:07:08.060]create bugbear859  pos = 14673 20803, angle = 145, rTime = 0
[04-10 03:07:08.060]create bugbear859  pos = 12311 16188, angle = 145, rTime = 0
[04-10 03:07:08.060]create bugbear859  pos = 12015 13994, angle = 145, rTime = 0
[04-10 03:07:08.060]create bugbear859  pos = 12380 12324, angle = 145, rTime = 0
[04-10 03:07:08.060]create bugbear859  pos = 14339 12947, angle = 145, rTime = 0
[04-10 03:07:08.060]create bugbear859  pos = 18442 12863, angle = 145, rTime = 0
[04-10 03:07:08.060]create bugbear859  pos = 18791 7534, angle = 145, rTime = 0
[04-10 03:07:08.060]create bugbear859  pos = 14373 7541, angle = 145, rTime = 0
[04-10 03:07:08.060]create bugbear859  pos = 10186 6273, angle = 145, rTime = 0
[04-10 03:07:08.060]create bugbear859  pos = 10043 9649, angle = 145, rTime = 0
[04-10 03:07:08.060]create bugbear859  pos = 17186 3343, angle = 145, rTime = 0
[04-10 03:12:08.072]create bugbear860  pos = 11339 24276, angle = 145, rTime = 0
[04-10 03:12:08.075]create bugbear860  pos = 13812 18439, angle = 145, rTime = 0
[04-10 03:12:08.075]create bugbear860  pos = 15189 6218, angle = 145, rTime = 0
[04-10 03:12:08.075]create bugbear860  pos = 16393 12239, angle = 145, rTime = 0
[04-10 03:12:08.075]create bugbear860  pos = 14895 13905, angle = 145, rTime = 0
[04-10 03:12:08.075]create bugbear860  pos = 12824 12767, angle = 145, rTime = 0
[04-10 03:12:08.075]create bugbear860  pos = 10154 11890, angle = 145, rTime = 0
